iso3,older_pop
ABW,13.55094714
AFG,2.58492694
AGO,2.216373648
ALB,13.74473591
AND,
ARB,4.557876424
ARE,1.085000985
ARG,11.11778888
ARM,11.25381766
ASM,
ATG,8.79982552
AUS,15.65647523
AUT,19.00156646
AZE,6.195182751
BDI,2.24694046
BEL,18.78874374
BEN,3.253605297
BFA,2.406980829
BGD,5.15839064
BGR,21.02191443
BHR,2.426333878
BHS,7.257602357
BIH,16.47031747
BLR,14.84514817
BLZ,4.736458777
BMU,
BOL,7.191947392
BRA,8.922837832
BRB,15.80269396
BRN,4.873147568
BTN,6.003011713
BWA,4.223874346
CAF,2.825773707
CAN,17.23200668
CEB,18.4601185
CHE,18.62321656
CHI,17.29746216
CHL,11.52980166
CHN,10.92088354
CIV,2.858943015
CMR,2.728877355
COD,3.017840622
COG,2.681719539
COL,8.47804702
COM,3.007009306
CPV,4.609327157
CRI,9.549847673
CSS,8.796658749
CUB,15.18621142
CUW,16.68489481
CYM,
CYP,13.71906177
CZE,19.42087689
DEU,21.461962
DJI,4.527579378
DMA,
DNK,19.81295264
DOM,7.082817476
DZA,6.362496545
EAP,9.496237874
EAR,5.817805684
EAS,10.744358
ECA,12.0469774
ECS,16.3488906
ECU,7.157289727
EGY,5.229779346
EMU,20.60028759
ERI,
ESP,19.37850752
EST,19.62635685
ETH,3.501132998
EUU,19.93452168
FCS,3.450848012
FIN,21.72078755
FJI,5.449680413
FRA,20.03462475
FRO,
FSM,3.996803977
GAB,3.563907468
GBR,18.39586567
GEO,14.86549143
GHA,3.068898007
GIB,
GIN,2.926022448
GMB,2.589980939
GNB,2.823716336
GNQ,2.457877347
GRC,21.65527208
GRD,9.621906796
GRL,
GTM,4.812072508
GUM,9.849910719
GUY,6.450271243
HIC,17.93204393
HKG,16.87504833
HND,4.690617659
HPC,3.028409238
HRV,20.44543301
HTI,4.949403848
HUN,19.15772538
IBD,8.483780139
IBT,7.224820741
IDA,3.557491151
IDB,3.498860383
IDN,5.857165613
IDX,3.587592591
IMN,
IND,6.179955649
INX,
IRL,13.8658017
IRN,6.184573806
IRQ,3.323599663
ISL,14.79509256
ISR,11.97698602
ITA,22.7516796
JAM,8.796642551
JOR,3.846490398
JPN,27.57636991
KAZ,7.391846271
KEN,2.339186612
KGZ,4.494727976
KHM,4.568680018
KIR,3.952627172
KNA,
KOR,14.41855583
KWT,2.550472384
LAC,8.24270282
LAO,4.075149964
LBN,7.002368134
LBR,3.2534318
LBY,4.392040259
LCA,9.806530356
LCN,8.438306072
LDC,3.540249106
LIC,3.291171653
LIE,
LKA,10.47321975
LMC,5.529415473
LMY,7.156651231
LSO,4.901087497
LTE,10.72325299
LTU,19.70503316
LUX,14.18315418
LVA,20.04362032
MAC,10.48420293
MAF,
MAR,7.012904821
MCO,
MDA,11.46955634
MDG,2.986717126
MDV,3.703344606
MEA,5.182161356
MEX,7.223684981
MHL,
MIC,7.637014665
MKD,13.67018138
MLI,2.507229758
MLT,20.3493243
MMR,5.784641933
MNA,5.375436375
MNE,14.97493664
MNG,4.083538787
MNP,
MOZ,2.890764457
MRT,3.141112158
MUS,11.47417307
MWI,2.64543493
MYS,6.671754625
NAC,15.95257736
NAM,3.636031681
NCL,9.174157925
NER,2.595007883
NGA,2.747377005
NIC,5.247497448
NLD,19.19619263
NOR,17.04922216
NPL,5.727670776
NRU,
NZL,15.65242453
OED,17.11861841
OMN,2.392786956
OSS,5.492465783
PAK,4.312774311
PAN,8.10473108
PER,8.088392792
PHL,5.122568768
PLW,
PNG,3.445269251
POL,17.51781676
PRE,2.753813638
PRI,18.67485021
PRK,9.33452041
PRT,21.95385754
PRY,6.430215009
PSE,3.133305737
PSS,4.537317377
PST,18.95451697
PYF,8.290508105
QAT,1.370070339
ROU,18.33870139
RUS,14.67470832
RWA,2.938196078
SAS,5.840560482
SAU,3.314088023
SDN,3.581160528
SEN,3.086823701
SGP,11.46338019
SLB,3.598950459
SLE,2.966556211
SLV,8.287090005
SMR,
SOM,2.873310943
SRB,18.34579269
SSA,2.987292174
SSD,3.39848288
SSF,2.987705607
SST,6.029569449
STP,2.925678109
SUR,6.906369902
SVK,15.6292465
SVN,19.60687965
SWE,20.09552493
SWZ,4.014587941
SXM,
SYC,7.594545604
SYR,4.503124421
TCA,
TCD,2.480518944
TEA,9.498247565
TEC,12.57559892
TGO,2.869468011
THA,11.90089314
TJK,3.021887552
TKM,4.426634462
TLA,8.256209237
TLS,4.316492294
TMN,5.40251473
TON,5.953661444
TSA,5.840560482
TSS,2.987705607
TTO,10.73495352
TUN,8.315679079
TUR,8.48321294
TUV,
TZA,2.601299178
UGA,1.94098692
UKR,16.43468644
UMC,10.0379488
URY,14.81451953
USA,15.80765406
UZB,4.419137878
VCT,9.589786863
VEN,7.26698662
VGB,
VIR,19.28830722
VNM,7.274978298
VUT,3.640153068
WLD,8.873442244
WSM,4.800411974
XKX,
YEM,2.876269756
ZAF,5.318005005
ZMB,2.099678026
ZWE,2.939523653